Date,Open,High,Low,Close,Adj Close,Volume
2020 de outubro de 22,32.110001,33.680000,32.049999,33.650002,31.556923,30028100
2020 de outubro de 23,33.669998,34.290001,33.330002,33.529999,31.444386,19088500
2020 de outubro de 26,33.340000,33.830002,32.860001,33.500000,31.416258,14370500
2020 de outubro de 27,33.790001,34.099998,32.540001,32.779999,30.741039,15328900
2020 de outubro de 28,31.950001,32.040001,31.100000,31.139999,29.203051,15388500
2020 de outubro de 29,31.120001,31.299999,30.040001,30.959999,29.034243,19448700
2020 de outubro de 30,30.690001,30.870001,29.610001,29.799999,27.946398,21981900
2020 de novembro de 03,30.420000,30.760000,29.900000,30.100000,28.227741,17154400
2020 de novembro de 04,30.410000,30.850000,30.070000,30.320000,28.434055,13726100
2020 de novembro de 05,30.650000,31.129999,30.440001,30.690001,28.781040,18692500
2020 de novembro de 06,30.500000,30.660000,30.180000,30.490000,28.593479,12861600
2020 de novembro de 09,32.130001,32.959999,32.000000,32.700001,30.666016,33781000
2020 de novembro de 10,32.770000,34.820000,32.730000,34.369999,32.232136,42044300
2020 de novembro de 11,34.330002,34.770000,33.360001,34.160000,32.035202,27125800
2020 de novembro de 12,33.990002,34.130001,32.380001,32.730000,30.694147,24995400
2020 de novembro de 13,32.990002,33.169998,32.400002,33.049999,30.994244,17339500
2020 de novembro de 16,33.560001,34.250000,33.450001,33.900002,31.791376,23210900
2020 de novembro de 17,33.619999,34.410000,33.400002,34.200001,32.258049,18689500
2020 de novembro de 18,34.070000,34.650002,33.779999,34.279999,32.333508,20020100
2020 de novembro de 19,34.200001,35.099998,33.990002,34.619999,32.654205,21003100
2020 de novembro de 23,34.560001,35.070000,34.310001,34.520000,32.559887,17514500
2020 de novembro de 24,34.740002,36.060001,34.740002,35.439999,33.427643,22541800
2020 de novembro de 25,35.400002,35.630001,34.650002,35.340000,33.333324,13708100
2020 de novembro de 26,35.070000,35.189999,34.410000,34.779999,32.805115,9168500
2020 de novembro de 27,34.889999,35.310001,34.500000,34.610001,32.644772,9632200
2020 de novembro de 30,34.500000,34.580002,33.750000,33.860001,31.937355,19409500
2020 de de zembro de 01,34.529999,35.369999,34.340000,34.790001,32.814552,19383800
2020 de de zembro de 02,34.790001,35.330002,34.549999,34.939999,32.956036,12292600
2020 de de zembro de 03,34.990002,35.880001,34.880001,35.240002,33.239002,21574900
2020 de de zembro de 04,35.599998,35.980000,35.220001,35.980000,33.936981,14127700
2020 de de zembro de 07,35.810001,37.270000,35.610001,36.150002,34.097328,23995800
2020 de de zembro de 08,36.520000,37.580002,36.060001,36.459999,34.389725,18974300
2020 de de zembro de 09,36.619999,36.900002,35.939999,35.959999,33.918114,12855300
2020 de de zembro de 10,36.250000,38.000000,36.230000,37.830002,35.681934,26352300
2020 de de zembro de 11,37.400002,38.730000,37.169998,38.490002,36.304459,24970200
2020 de de zembro de 14,38.590000,39.330002,38.400002,38.500000,36.424595,24822600
2020 de de zembro de 15,38.500000,39.500000,38.500000,38.990002,36.888187,15248300
2020 de de zembro de 16,39.220001,39.790001,38.240002,39.349998,37.228779,26509000
2020 de de zembro de 17,39.369999,39.770000,38.910000,39.389999,37.266617,11508700
2020 de de zembro de 18,39.290001,39.630001,38.900002,39.099998,36.992252,12473800
2020 de de zembro de 21,38.110001,38.480000,37.669998,37.790001,35.752872,18718600
2020 de de zembro de 22,38.139999,38.860001,38.000000,38.290001,36.225918,10770400
2020 de de zembro de 23,38.570000,39.180000,38.270000,38.919998,36.821949,9176300
2020 de de zembro de 28,39.320000,39.549999,39.200001,39.349998,37.228779,7577200
2020 de de zembro de 29,39.500000,39.599998,38.950001,39.119999,37.011177,7301400
2020 de de zembro de 30,39.279999,39.349998,38.660000,38.799999,36.708424,8594000
2021 de janeiro de 04,39.230000,39.290001,37.500000,37.590000,35.563656,13874600
2021 de janeiro de 05,37.450001,37.450001,36.700001,37.200001,35.194679,15954000
2021 de janeiro de 06,37.529999,38.730000,37.380001,38.049999,35.998856,20566700
2021 de janeiro de 07,38.119999,39.700001,37.919998,39.560001,37.427464,21878700
2021 de janeiro de 08,39.849998,40.560001,39.290001,39.790001,37.645058,16240300
2021 de janeiro de 11,39.549999,39.900002,38.799999,39.139999,37.030102,16880700
2021 de janeiro de 12,39.660000,39.790001,38.889999,39.500000,37.370693,15519000
2021 de janeiro de 13,39.500000,39.700001,37.240002,37.549999,35.525806,34866200
2021 de janeiro de 14,37.759998,38.150002,36.840000,37.459999,35.440662,39535200
2021 de janeiro de 15,37.200001,37.450001,36.299999,36.299999,34.343189,29147400
2021 de janeiro de 18,36.660000,37.029999,35.810001,35.930000,33.993137,23849800
2021 de janeiro de 19,36.299999,36.330002,35.040001,35.320000,33.416019,19512600
2021 de janeiro de 20,35.490002,35.580002,34.509998,34.529999,32.668602,22693600
2021 de janeiro de 21,34.549999,34.810001,33.730000,34.180000,32.337475,23303500
2021 de janeiro de 22,33.619999,33.820000,33.240002,33.689999,31.873886,20405700
2021 de janeiro de 26,33.959999,34.240002,32.610001,32.790001,31.022406,26922300
2021 de janeiro de 27,32.730000,34.029999,32.520000,33.750000,31.930655,25080200
2021 de janeiro de 28,33.570000,34.950001,33.480000,34.540001,32.678070,20932100
2021 de janeiro de 29,34.099998,34.669998,33.650002,33.860001,32.034725,17492800
2021 de fevereiro de 01,34.320000,34.500000,33.830002,34.290001,32.441544,16762600
2021 de fevereiro de 02,34.759998,35.099998,33.840000,34.060001,32.223942,19800900
2021 de fevereiro de 03,34.299999,34.740002,34.180000,34.330002,32.479389,10473000
2021 de fevereiro de 04,34.599998,34.720001,34.020000,34.189999,32.346935,10074200
2021 de fevereiro de 05,34.279999,34.480000,33.799999,33.959999,32.129337,12743600
2021 de fevereiro de 08,33.939999,34.250000,33.599998,33.869999,32.044182,11651600
2021 de fevereiro de 09,33.770000,34.500000,33.650002,34.279999,32.432083,15307000
2021 de fevereiro de 10,34.279999,34.480000,33.750000,33.810001,31.987423,14228800
2021 de fevereiro de 11,34.000000,34.360001,33.759998,33.939999,32.110409,9944000
2021 de fevereiro de 12,33.759998,34.139999,33.200001,33.750000,31.930655,17673000
2021 de fevereiro de 17,null,null,null,null,null,null
2021 de fevereiro de 18,33.360001,33.630001,33.029999,33.259998,31.467066,17165700
2021 de fevereiro de 19,33.119999,33.410000,32.529999,32.630001,30.871029,27407500
2021 de fevereiro de 22,29.500000,29.860001,28.559999,28.830000,27.275873,102036100
2021 de fevereiro de 23,29.600000,30.780001,29.520000,30.430000,29.231556,47768000
2021 de fevereiro de 24,30.750000,30.879999,29.770000,30.309999,29.116283,20598000
2021 de fevereiro de 25,30.440001,31.080000,29.320000,29.459999,28.299759,27312700
2021 de fevereiro de 26,29.610001,29.840000,27.910000,28.049999,26.945288,46859800
2021 de marco de 01,28.650000,28.790001,27.719999,27.860001,26.762772,27784400
2021 de marco de 02,27.450001,29.389999,27.020000,28.930000,27.790630,36337300
2021 de marco de 03,28.799999,29.680000,28.010000,28.990000,27.848269,26952400
2021 de marco de 04,29.209999,30.469999,29.100000,30.040001,28.856915,23946500
2021 de marco de 05,30.150000,31.040001,30.049999,30.600000,29.394861,23139000
2021 de marco de 08,29.990000,30.770000,29.070000,29.200001,28.050001,24768200
2021 de marco de 09,29.469999,29.950001,28.850000,28.990000,27.848269,23057100
2021 de marco de 10,29.180000,29.910000,28.660000,29.900000,28.722431,20780600
